"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.668501984E1,1.627119422E0,-1.914258122E0,1.217946720E1,1.243588851E1
2.668739546E1,-6.795616150E-1,-3.397808075E-1,6.867401123E0,6.909301931E0
2.668977104E1,-7.657032609E-1,-1.459621787E0,1.315573883E1,1.325859198E1
2.669214666E1,1.804188251E0,-8.135597110E-1,6.120840549E0,6.432858127E0
2.669452229E1,-1.914258122E0,-9.092726111E-1,1.285902882E1,1.303248951E1
2.669689791E1,2.708675146E0,-1.335195065E0,8.193024635E0,8.731856594E0
2.669927348E1,-2.694318295E0,1.244267747E-1,1.014556789E1,1.049797033E1
2.670164911E1,1.804188251E0,-2.081755638E0,1.170090294E1,1.202081243E1
2.670402473E1,-5.982056856E-1,-2.823530734E-1,7.575676441E0,7.604501748E0
2.670640036E1,-3.349951804E-1,-1.564906001E0,1.331845093E1,1.341425688E1
2.670877593E1,1.502692580E0,-7.322037220E-1,6.364908218E0,6.580749495E0
2.671115156E1,-1.952543259E0,-1.038485050E0,1.253839111E1,1.273193340E1
2.671352718E1,2.962314367E0,-1.311266780E0,7.953742504E0,8.588174824E0
2.671590281E1,-2.239681959E0,-2.871387079E-2,1.032263660E1,1.056285124E1
2.671827838E1,2.163111687E0,-2.038684845E0,1.116012478E1,1.154918496E1
2.672065400E1,-9.810572863E-1,-6.699903309E-2,7.733603001E0,7.795869268E0
2.672302963E1,-1.292124242E-1,-1.713261008E0,1.331366539E1,1.342406962E1
2.672540525E1,1.459621787E0,-6.269195080E-1,6.977470875E0,7.156020098E0
2.672778083E1,-1.804188251E0,-1.110269666E0,1.268674564E1,1.286239904E1
2.673015645E1,2.593819857E0,-1.129412293E0,7.819744587E0,8.315760878E0
2.673253208E1,-2.038684845E0,-1.818545163E-1,1.035135078E1,1.055176620E1
2.673490770E1,2.541177750E0,-2.038684845E0,1.067198944E1,1.115818887E1
2.673728328E1,-1.138983607E0,1.100698411E-1,7.685746193E0,7.770462893E0
2.673965890E1,-1.435693651E-1,-1.698904037E0,1.321316624E1,1.332271178E1
2.674203452E1,1.138983607E0,-5.551348329E-1,6.699903488E0,6.818662999E0
2.674441015E1,-1.579262972E0,-1.258624673E0,1.316530991E1,1.331929399E1
2.674678578E1,2.522035122E0,-1.043270707E0,8.169096947E0,8.612968121E0
2.674916135E1,-2.359323025E0,-1.292124242E-1,1.047577763E1,1.073894864E1
2.675153697E1,2.364108801E0,-1.942971945E0,1.023649502E1,1.068409943E1
2.675391260E1,-1.095912814E0,2.392822690E-2,7.752745152E0,7.829856630E0
2.675628817E1,2.392822653E-1,-1.794616938E0,1.302652645E1,1.315174123E1
2.675866380E1,8.374879360E-1,-2.297109663E-1,6.407979012E0,6.466556130E0
2.676103942E1,-1.933400750E0,-1.387837172E0,1.311266804E1,1.332689737E1
2.676341505E1,2.526820660E0,-9.044869542E-1,8.274380684E0,8.698752497E0
2.676579062E1,-2.249253273E0,-4.211367965E-1,1.111226845E1,1.134543990E1
2.676816624E1,2.311466694E0,-1.746760488E0,1.016471100E1,1.056955061E1
2.677054187E1,-1.660618901E0,1.914258115E-2,7.858029366E0,8.031603021E0
2.677291749E1,5.934200287E-1,-1.933400750E0,1.268674564E1,1.284693352E1
2.677529312E1,9.092726111E-1,-2.009970993E-1,6.063412666E0,6.134504844E0
2.677766869E1,-1.813759565E0,-1.392622828E0,1.332802200E1,1.352276941E1
2.678004432E1,2.478964329E0,-7.082754970E-1,7.542177200E0,7.970655885E0
2.678241994E1,-2.402393818E0,-4.929214716E-1,1.163868904E1,1.189426543E1
2.678479557E1,2.627319336E0,-1.574477315E0,1.022213840E1,1.067117141E1
2.678717114E1,-1.837687731E0,-9.092725813E-2,8.394021988E0,8.593309554E0
2.678954676E1,8.518448472E-1,-1.722832322E0,1.248574829E1,1.263280259E1
2.679192239E1,5.264210105E-1,-3.254238665E-1,5.929414749E0,5.961625537E0
2.679429802E1,-1.210768223E0,-1.430907965E0,1.332802200E1,1.345918377E1
2.679667359E1,2.593819857E0,-7.896314859E-1,6.939185619E0,7.450081637E0
2.679904921E1,-2.488535643E0,-2.344966233E-1,1.192104244E1,1.218027304E1
2.680142484E1,2.617748022E0,-1.579262972E0,9.657432556E0,1.012979170E1
2.680380046E1,-1.808973908E0,-1.627119333E-1,9.159725189E0,9.338063360E0
2.680617604E1,1.268195987E0,-1.828116536E0,1.256231880E1,1.275782837E1
2.680855166E1,8.614161611E-2,-2.775674164E-1,6.317051888E0,6.323733755E0
2.681092729E1,-1.033699393E0,-1.354337573E0,1.305045509E1,1.316119838E1
2.681330291E1,2.555534601E0,-8.135597110E-1,6.546762943E0,7.074796219E0
2.681567848E1,-1.942971945E0,-4.642075896E-1,1.230389404E1,1.246500852E1
2.681805406E1,2.790031195E0,-1.440479279E0,8.781659126E0,9.326134871E0
2.682042973E1,-2.354537487E0,1.483550072E-1,9.418149948E0,9.709140252E0
2.682280531E1,1.545763373E0,-1.947757602E0,1.240917778E1,1.265586177E1
2.682518093E1,-6.221338734E-2,-1.962114573E-1,6.987041950E0,6.990073294E0
2.682755656E1,-8.231309652E-1,-1.354337573E0,1.317009544E1,1.326511172E1
2.682993218E1,1.947757602E0,-6.125625968E-1,6.412764549E0,6.729973386E0
2.683230781E1,-1.861616015E0,-7.130611539E-1,1.212682533E1,1.228958759E1
2.683468338E1,2.957528830E0,-1.277767301E0,8.528019905E0,9.116292533E0
2.683705900E1,-2.392822742E0,2.009970993E-1,9.494720459E0,9.793656983E0
2.683943463E1,1.603191137E0,-1.823330879E0,1.191625690E1,1.216108284E1
2.684181025E1,-5.072783828E-1,-1.292124242E-1,7.188039303E0,7.207075428E0
2.684418583E1,-4.689932466E-1,-1.435693622E0,1.346680546E1,1.355123685E1
2.684656145E1,1.741974831E0,-6.364908218E-1,6.800402164E0,7.048763471E0
2.684893708E1,-2.053041935E0,-6.795616150E-1,1.232303619E1,1.251135509E1
2.685131270E1,2.684746981E0,-1.196411371E0,8.092526436E0,8.609776457E0
2.685368828E1,-2.062613010E0,-4.785645287E-3,9.801001549E0,1.001568903E1
2.685606390E1,2.019542217E0,-1.861616015E0,1.126062298E1,1.159076334E1
2.685843952E1,-6.939185858E-1,1.004985496E-1,7.288537979E0,7.322186069E0
2.686081515E1,-6.269195080E-1,-1.502692580E0,1.319880962E1,1.329886042E1
2.686319078E1,1.536192179E0,-5.359922647E-1,7.001399040E0,7.187959560E0
2.686556635E1,-1.751546144E0,-9.475577474E-1,1.283988667E1,1.299340099E1
2.686794197E1,2.579462767E0,-1.067198873E0,8.216953278E0,8.678183149E0
2.687031760E1,-2.340180635E0,1.435693540E-2,9.872786522E0,1.014635724E1
2.687269317E1,2.277967215E0,-2.000399828E0,1.079162979E1,1.120937142E1
2.687506880E1,-6.460621357E-1,1.866401732E-1,7.293323517E0,7.324260970E0
2.687744442E1,-2.488535494E-1,-1.646261930E0,1.319402409E1,1.329866076E1
2.687982005E1,1.282552958E0,-3.014956415E-1,6.508477688E0,6.640491211E0
2.688219567E1,-1.899901152E0,-1.244267821E0,1.298824120E1,1.318530379E1
2.688457124E1,2.761317253E0,-8.901300430E-1,8.623732567E0,9.098679456E0
2.688694687E1,-2.335394859E0,-2.297109663E-1,1.036570740E1,1.062801610E1
2.688932249E1,2.239681959E0,-1.794616938E0,1.055234814E1,1.093566991E1
2.689169812E1,-1.091127157E0,4.307080805E-2,7.355536938E0,7.436150698E0
2.689407369E1,3.637090325E-1,-1.789831281E0,1.309352589E1,1.322029502E1
2.689644932E1,1.244267821E0,-3.206382394E-1,6.039484501E0,6.174656616E0
2.689882494E1,-2.105684042E0,-1.134197950E0,1.322752380E1,1.344201236E1
2.690120057E1,2.545963287E0,-8.087740541E-1,8.049455643E0,8.481142651E0
2.690357614E1,-2.263610125E0,-4.115654826E-1,1.110748291E1,1.134325762E1
2.690595176E1,2.402393818E0,-1.689332843E0,1.061456108E1,1.101336681E1
2.690832739E1,-1.588834286E0,-4.785645381E-2,7.819744587E0,7.979667288E0
2.691070302E1,4.163511395E-1,-1.694118381E0,1.270588779E1,1.282509142E1
2.691307859E1,8.518448472E-1,-3.780659735E-1,5.790630817E0,5.865149511E0
2.691545421E1,-1.607976794E0,-1.249053478E0,1.346680546E1,1.361985951E1
2.691782984E1,2.545963287E0,-7.944171429E-1,7.235895634E0,7.711758119E0
2.692020546E1,-2.737389088E0,-2.201396823E-1,1.155254745E1,1.187447318E1
2.692258104E1,2.550748825E0,-1.679761529E0,1.020778179E1,1.065489218E1
2.692495666E1,-1.775474429E0,-6.221338734E-2,8.743373871E0,8.922038254E0
